species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,38.7,17.8,203.0,3850.0,FEMALE
Adelie,Dream,35.7,18.5,201.0,3600.0,FEMALE
Adelie,Dream,41.8,20.1,188.0,4070.0,
Adelie,Biscoe,40.8,16.5,196.0,2700.0,FEMALE
Adelie,Torgersen,40.9,19.7,194.0,3810.0,FEMALE
Adelie,Torgersen,36.4,18.3,199.0,4050.0,FEMALE
Adelie,Torgersen,42.5,17.1,184.0,3030.0,FEMALE
Adelie,Dream,35.1,18.9,194.0,4210.0,MALE
Adelie,Biscoe,40.4,18.5,197.0,3850.0,MALE
Adelie,Dream,44.6,17.6,178.0,3510.0,FEMALE
Adelie,Torgersen,36.2,18.4,182.0,3980.0,MALE
Adelie,Dream,37.3,17.8,177.0,4720.0,MALE
Adelie,Dream,39.1,18.4,188.0,3780.0,MALE
Adelie,Torgersen,37.5,19.1,195.0,3810.0,FEMALE
Adelie,Torgersen,34.7,20.2,200.0,3490.0,FEMALE
Adelie,Torgersen,39.0,16.8,190.0,3320.0,FEMALE
Adelie,Torgersen,36.0,20.9,200.0,4070.0,MALE
Adelie,Biscoe,40.1,15.9,181.0,3310.0,FEMALE
Adelie,Biscoe,36.4,18.1,179.0,3730.0,FEMALE
Adelie,Torgersen,42.9,19.0,190.0,3490.0,MALE
Adelie,Biscoe,36.7,18.6,192.0,3920.0,FEMALE
Adelie,Torgersen,37.9,17.5,190.0,3850.0,FEMALE
Adelie,Torgersen,41.0,18.0,176.0,4170.0,MALE
Adelie,Biscoe,35.5,17.7,189.0,3470.0,MALE
Adelie,Biscoe,39.4,17.6,181.0,3580.0,MALE
Adelie,Dream,42.3,19.3,194.0,3260.0,FEMALE
Adelie,Torgersen,34.5,18.7,192.0,3500.0,FEMALE
Adelie,Biscoe,39.3,17.5,184.0,3870.0,FEMALE
Adelie,Biscoe,39.5,19.4,187.0,4040.0,MALE
Adelie,Torgersen,40.9,18.7,183.0,3290.0,MALE
Adelie,Biscoe,35.5,19.3,189.0,4090.0,FEMALE
Adelie,Torgersen,35.3,19.1,196.0,4310.0,FEMALE
Adelie,Torgersen,40.2,17.3,183.0,3890.0,MALE
Adelie,Dream,39.6,17.6,193.0,4540.0,MALE
Adelie,Dream,39.5,19.2,186.0,3350.0,MALE
Adelie,Dream,39.7,19.0,185.0,3140.0,
Adelie,Torgersen,37.0,18.3,189.0,2900.0,FEMALE
Adelie,Torgersen,39.4,18.4,183.0,4370.0,MALE
Adelie,Dream,39.6,19.9,186.0,3990.0,FEMALE
Adelie,Biscoe,36.9,17.6,182.0,3670.0,FEMALE
Adelie,Torgersen,43.8,19.0,203.0,3830.0,FEMALE
Adelie,Biscoe,40.1,18.1,190.0,3190.0,MALE
Adelie,Torgersen,35.6,18.0,185.0,4800.0,MALE
Adelie,Dream,40.5,19.6,191.0,3760.0,MALE
Adelie,Torgersen,36.2,19.3,189.0,3750.0,MALE
Adelie,Dream,40.9,19.3,188.0,4030.0,FEMALE
Adelie,Torgersen,41.9,19.9,194.0,3920.0,MALE
Adelie,Biscoe,36.6,18.3,195.0,3800.0,MALE
Adelie,Biscoe,41.4,19.1,186.0,3340.0,FEMALE
Adelie,Torgersen,39.9,17.9,186.0,3910.0,MALE
Adelie,Dream,41.0,18.7,188.0,4550.0,FEMALE
Adelie,Dream,43.8,18.1,175.0,4310.0,FEMALE
Adelie,Dream,38.1,18.4,180.0,4420.0,FEMALE
Adelie,Dream,36.8,19.0,199.0,3470.0,FEMALE
Adelie,Biscoe,36.4,17.3,201.0,3250.0,FEMALE
Adelie,Dream,36.6,20.9,188.0,3640.0,FEMALE
Adelie,Torgersen,38.6,17.1,194.0,3730.0,FEMALE
Adelie,Torgersen,,,,,FEMALE
Adelie,Torgersen,39.5,19.7,210.0,2940.0,MALE
Adelie,Torgersen,41.0,19.3,197.0,4390.0,MALE
Adelie,Biscoe,38.8,19.1,189.0,3630.0,MALE
Adelie,Torgersen,42.7,19.1,184.0,3510.0,MALE
Adelie,Dream,38.1,18.3,179.0,3240.0,FEMALE
Adelie,Biscoe,46.0,17.2,191.0,2960.0,MALE
Adelie,Torgersen,40.5,18.4,185.0,4070.0,FEMALE
Adelie,Biscoe,36.5,17.5,181.0,3730.0,MALE
Adelie,Torgersen,36.0,19.5,186.0,3120.0,MALE
Adelie,Dream,40.1,18.1,183.0,3120.0,MALE
Adelie,Torgersen,38.2,17.3,201.0,3550.0,FEMALE
Adelie,Dream,40.7,17.9,196.0,4450.0,MALE
Adelie,Dream,40.1,18.8,190.0,3580.0,FEMALE
Adelie,Torgersen,38.6,17.6,200.0,3020.0,FEMALE
Adelie,Torgersen,36.5,17.3,190.0,3590.0,MALE
Adelie,Dream,34.8,18.6,184.0,3580.0,MALE
Adelie,Dream,37.6,18.6,200.0,2490.0,MALE
Adelie,Dream,41.1,17.7,193.0,3680.0,FEMALE
Adelie,Dream,39.4,17.7,183.0,3600.0,MALE
Adelie,Torgersen,35.5,18.6,189.0,4010.0,FEMALE
Adelie,Biscoe,39.3,16.5,184.0,4530.0,FEMALE
Adelie,Torgersen,39.8,16.6,181.0,4210.0,MALE
Adelie,Dream,36.4,17.4,196.0,3580.0,MALE
Adelie,Biscoe,39.2,18.0,202.0,3200.0,FEMALE
Adelie,Torgersen,39.0,18.7,181.0,4860.0,FEMALE
Adelie,Torgersen,35.8,20.1,194.0,3730.0,FEMALE
Adelie,Torgersen,39.8,19.3,186.0,3710.0,MALE
Adelie,Torgersen,40.3,18.1,187.0,3690.0,FEMALE
Adelie,Dream,41.7,18.3,186.0,3790.0,MALE
Adelie,Dream,41.6,17.1,184.0,3640.0,FEMALE
Adelie,Dream,35.1,18.3,190.0,3440.0,FEMALE
Adelie,Biscoe,36.3,17.9,184.0,3450.0,MALE
Adelie,Torgersen,40.2,18.7,192.0,3690.0,FEMALE
Adelie,Dream,40.2,17.3,190.0,3460.0,MALE
Adelie,Dream,40.2,18.9,188.0,3380.0,MALE
Adelie,Biscoe,49.0,20.2,184.0,3750.0,FEMALE
Adelie,Dream,40.3,18.2,186.0,3590.0,MALE
Adelie,Biscoe,,,,,MALE
Adelie,Biscoe,41.3,19.1,193.0,2510.0,FEMALE
Adelie,Biscoe,40.5,17.8,184.0,4190.0,MALE
Adelie,Torgersen,38.0,18.6,191.0,4260.0,MALE
Adelie,Torgersen,40.8,18.3,195.0,2770.0,MALE
Adelie,Torgersen,36.7,18.4,179.0,3550.0,FEMALE
Adelie,Dream,38.2,17.4,193.0,3530.0,MALE
